"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","456","Create User","chromium","2026-06-08","passed","2026-06-08","","api\userApi.spec.js","",""
"","17354","Authenticate User","chromium","2026-06-08","passed","2026-06-08","","setup\auth.setup.spec.js","",""
"","588","Get Users API","chromium","2026-06-08","passed","2026-06-08","","api\userApi.spec.js","",""
"","27702","Open Cart and Verify Product","chromium","2026-06-08","passed","2026-06-08","","e-commerce\cartTest.spec.js","",""
"","2597","User is already logged in","chromium","2026-06-08","passed","2026-06-08","","smoke\dashboard.spec.js","",""
"","30948","Checkout Out of Stock Product","chromium","2026-06-08","broken","2026-06-08","","e-commerce\outOfStock.spec.js","",""
"","15229","@smoke Login Test","chromium","2026-06-08","passed","2026-06-08","Login Functionality Tests","smoke\loginTest.spec.js","",""
"","46131","Checkout Product","chromium","2026-06-08","passed","2026-06-08","","e-commerce\checkoutTest.spec.js","",""
"","15367","Authenticate User","setup","2026-06-08","passed","2026-06-08","","setup\auth.setup.spec.js","",""
"","15215","Invalid Login Test","chromium","2026-06-08","passed","2026-06-08","Login Functionality Tests","smoke\loginTest.spec.js","",""
"","25010","Add to Cart","chromium","2026-06-08","passed","2026-06-08","E-commerce Application","e-commerce\productsTest.spec.js","",""
